system_id,sample_coordinate_id,ProjektNr,Befu,ProbNr,coordinate_type,coordinate_value
264,,19_0013,A8090,19_0013_0004,KoordY,0.0
265,,19_0013,A8090,19_0013_0005,KoordY,0.0
266,,19_0013,A8090,19_0013_0006,KoordY,0.0
267,,19_0013,A8090,19_0013_0017,KoordY,0.0
268,,19_0013,A9063,19_0013_0001,KoordY,0.0
269,,19_0013,A9063,19_0013_0002,KoordY,0.0
270,,19_0013,A9063,19_0013_0003,KoordY,0.0
271,,19_0013,A9063,19_0013_0016,KoordY,0.0
272,,19_0014,A10143,19_0014_0040,KoordY,0.0
273,,19_0014,A10153,19_0014_0037,KoordY,0.0
274,,19_0014,A10189,19_0014_0042,KoordY,0.0
275,,19_0014,A10229,19_0014_0039,KoordY,0.0
276,,19_0014,A10697,19_0014_0067,KoordY,0.0
277,,19_0014,A10990,19_0014_0055,KoordY,0.0
278,,19_0014,A11339,19_0014_0068,KoordY,0.0
279,,19_0014,A1196,19_0014_0044,KoordY,0.0
280,,19_0014,A12024,19_0014_0056,KoordY,0.0
281,,19_0014,A12024,19_0014_0057,KoordY,0.0
282,,19_0014,A12034,19_0014_0058,KoordY,0.0
283,,19_0014,A12435,19_0014_0069,KoordY,0.0
284,,19_0014,A13064,19_0014_0071,KoordY,0.0
285,,19_0014,A13200,19_0014_0041,KoordY,0.0
286,,19_0014,A13299,19_0014_0072,KoordY,0.0
287,,19_0014,A13837,19_0014_0060,KoordY,0.0
288,,19_0014,A15333,19_0014_0061,KoordY,0.0
289,,19_0014,A15344,19_0014_0074,KoordY,0.0
290,,19_0014,A15554,19_0014_0075,KoordY,0.0
291,,19_0014,A15736,19_0014_0059,KoordY,0.0
292,,19_0014,A16771,19_0014_0008,KoordY,0.0
293,,19_0014,A16783,19_0014_0005,KoordY,0.0
294,,19_0014,A17294,19_0014_0016,KoordY,0.0
295,,19_0014,A1875,19_0014_0046,KoordY,0.0
296,,19_0014,A1931,19_0014_0047,KoordY,0.0
297,,19_0014,A1998,19_0014_0048,KoordY,0.0
298,,19_0014,A2019,19_0014_0049,KoordY,0.0
299,,19_0014,A2029,19_0014_0050,KoordY,0.0
300,,19_0014,A2114,19_0014_0051,KoordY,0.0
301,,19_0014,A3019,19_0014_0052,KoordY,0.0
302,,19_0014,A3170,19_0014_0066,KoordY,0.0
303,,19_0014,A3650,19_0014_0053,KoordY,0.0
304,,19_0014,A4115,19_0014_0023,KoordY,0.0
305,,19_0014,A4365,19_0014_0054,KoordY,0.0
306,,19_0014,A5192,19_0014_0020,KoordY,0.0
307,,19_0014,A5213,19_0014_0019,KoordY,0.0
308,,19_0014,A5223,19_0014_0018,KoordY,0.0
309,,19_0014,A5254,19_0014_0029,KoordY,0.0
310,,19_0014,A5282,19_0014_0021,KoordY,0.0
311,,19_0014,A5294,19_0014_0022,KoordY,0.0
312,,19_0014,A5307,19_0014_0024,KoordY,0.0
313,,19_0014,A5334,19_0014_0063,KoordY,0.0
314,,19_0014,A6041,19_0014_0034,KoordY,0.0
315,,19_0014,A6135,19_0014_0015,KoordY,0.0
316,,19_0014,A6146,19_0014_0033,KoordY,0.0
317,,19_0014,A6157,19_0014_0035,KoordY,0.0
318,,19_0014,A6178,19_0014_0017,KoordY,0.0
319,,19_0014,A6194,19_0014_0025,KoordY,0.0
320,,19_0014,A7199,19_0014_0032,KoordY,0.0
321,,19_0014,A7253,19_0014_0014,KoordY,0.0
