system_id,sample_chronological_period_id,chronological_period_id,sample_id,taxon_id,BNam,Befu,ChronoDat,ChronoDat Beschreibung,ProbNr,ProjektNr,TaxAut
293,,1,29,63,Prunella vulgaris,A10229,,,19_0014_0039,19_0014,L.
294,,1,29,22,Stellaria media,A10229,,,19_0014_0039,19_0014,
295,,1,30,44,Cerealia indet.,A10697,,,19_0014_0067,19_0014,
296,,1,30,6,Chenopodium album,A10697,,,19_0014_0067,19_0014,L.
297,,1,30,36,Indeterminata,A10697,,,19_0014_0067,19_0014,
298,,1,30,64,Melilotus spec.,A10697,,,19_0014_0067,19_0014,Mill.
299,,1,30,32,Silene dioica,A10697,,,19_0014_0067,19_0014,(L.) Clairv.
300,,1,30,22,Stellaria media,A10697,,,19_0014_0067,19_0014,
301,,1,31,6,Chenopodium album,A10990,,,19_0014_0055,19_0014,L.
302,,1,32,51,Carex spec. tricarpellat,A11339,,,19_0014_0068,19_0014,
303,,1,32,44,Cerealia indet.,A11339,,,19_0014_0068,19_0014,
304,,1,32,6,Chenopodium album,A11339,,,19_0014_0068,19_0014,L.
305,,1,32,48,Hordeum distichon/vulgare Spelzgerste,A11339,,,19_0014_0068,19_0014,
306,,1,32,36,Indeterminata,A11339,,,19_0014_0068,19_0014,
307,,1,32,12,Polygonum aviculare agg.,A11339,,,19_0014_0068,19_0014,
308,,1,32,50,Polygonum lapathifolium agg.,A11339,,,19_0014_0068,19_0014,L.
309,,1,32,13,Polygonum convolvulus,A11339,,,19_0014_0068,19_0014,(L.) A. Löve
310,,1,32,16,Ranunculus spec.,A11339,,,19_0014_0068,19_0014,L.
311,,1,32,53,Rumex acetosella agg.,A11339,,,19_0014_0068,19_0014,
312,,1,32,20,Spergula arvensis,A11339,,,19_0014_0068,19_0014,L.
313,,1,32,22,Stellaria media,A11339,,,19_0014_0068,19_0014,
314,,1,32,65,Viola spec.,A11339,,,19_0014_0068,19_0014,L.
315,,1,33,6,Chenopodium album,A1196,,,19_0014_0044,19_0014,L.
316,,1,34,35,Carex spec.,A12024,,,19_0014_0056,19_0014,
317,,1,34,6,Chenopodium album,A12024,,,19_0014_0056,19_0014,L.
318,,1,34,66,Fumaria officinalis,A12024,,,19_0014_0056,19_0014,L.
319,,1,34,8,Galeopsis spec.,A12024,,,19_0014_0056,19_0014,L.
320,,1,34,67,Picea abies,A12024,,,19_0014_0056,19_0014,(L.) H. Karst.
321,,1,34,12,Polygonum aviculare agg.,A12024,,,19_0014_0056,19_0014,
322,,1,34,13,Polygonum convolvulus,A12024,,,19_0014_0056,19_0014,(L.) A. Löve
323,,1,35,44,Cerealia indet.,A12024,,,19_0014_0057,19_0014,
324,,1,35,6,Chenopodium album,A12024,,,19_0014_0057,19_0014,L.
325,,1,35,66,Fumaria officinalis,A12024,,,19_0014_0057,19_0014,L.
326,,1,35,8,Galeopsis spec.,A12024,,,19_0014_0057,19_0014,L.
327,,1,35,12,Polygonum aviculare agg.,A12024,,,19_0014_0057,19_0014,
328,,1,35,50,Polygonum lapathifolium agg.,A12024,,,19_0014_0057,19_0014,L.
329,,1,35,13,Polygonum convolvulus,A12024,,,19_0014_0057,19_0014,(L.) A. Löve
330,,1,35,20,Spergula arvensis,A12024,,,19_0014_0057,19_0014,L.
331,,1,36,35,Carex spec.,A12034,,,19_0014_0058,19_0014,
332,,1,36,51,Carex spec. tricarpellat,A12034,,,19_0014_0058,19_0014,
333,,1,36,68,Centaurea spec.,A12034,,,19_0014_0058,19_0014,L.
334,,1,36,44,Cerealia indet.,A12034,,,19_0014_0058,19_0014,
335,,1,36,6,Chenopodium album,A12034,,,19_0014_0058,19_0014,L.
336,,1,36,69,Euphorbia helioscopia,A12034,,,19_0014_0058,19_0014,L.
337,,1,36,70,Fabaceae,A12034,,,19_0014_0058,19_0014,
338,,1,36,66,Fumaria officinalis,A12034,,,19_0014_0058,19_0014,L.
339,,1,36,8,Galeopsis spec.,A12034,,,19_0014_0058,19_0014,L.
