system_id,sample_archaeological_period_id,archaeological_period_id,sample_id,taxon_id,ArchDat,ArchDat_Beschreibung,BNam,Befu,ProbNr,ProjektNr,TaxAut
164,,3,10,48,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare Spelzgerste,A479,19_0013_0010,19_0013,
165,,3,10,36,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Indeterminata,A479,19_0013_0010,19_0013,
166,,3,10,50,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum lapathifolium agg.,A479,19_0013_0010,19_0013,L.
167,,3,10,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A479,19_0013_0010,19_0013,L.
168,,3,10,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A479,19_0013_0010,19_0013,
169,,3,11,51,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec. tricarpellat,A479,19_0013_0011,19_0013,
170,,3,11,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A479,19_0013_0011,19_0013,
171,,3,11,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A479,19_0013_0011,19_0013,L.
172,,3,11,45,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galium spurium,A479,19_0013_0011,19_0013,L.
173,,3,11,10,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Eleocharis,A479,19_0013_0011,19_0013,
174,,3,11,48,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare Spelzgerste,A479,19_0013_0011,19_0013,
175,,3,11,36,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Indeterminata,A479,19_0013_0011,19_0013,
176,,3,11,52,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Poaceae,A479,19_0013_0011,19_0013,
177,,3,11,50,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum lapathifolium agg.,A479,19_0013_0011,19_0013,L.
178,,3,11,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A479,19_0013_0011,19_0013,L.
179,,3,11,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A479,19_0013_0011,19_0013,
180,,3,11,54,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Thlaspi arvense,A479,19_0013_0011,19_0013,L.
181,,3,12,35,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec.,A479,19_0013_0012,19_0013,
182,,3,12,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A479,19_0013_0012,19_0013,
183,,3,12,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A479,19_0013_0012,19_0013,L.
184,,3,12,45,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galium spurium,A479,19_0013_0012,19_0013,L.
185,,3,12,46,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare,A479,19_0013_0012,19_0013,L./L.
186,,3,12,17,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Rubus idaeus,A479,19_0013_0012,19_0013,L.
187,,3,12,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A479,19_0013_0012,19_0013,L.
188,,3,12,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A479,19_0013_0012,19_0013,
189,,3,13,43,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Avena sativa,A479,19_0013_0019,19_0013,L.
190,,3,13,35,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec.,A479,19_0013_0019,19_0013,
191,,3,13,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A479,19_0013_0019,19_0013,
192,,3,13,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A479,19_0013_0019,19_0013,L.
193,,3,13,27,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Corylus avellana,A479,19_0013_0019,19_0013,L.
194,,3,13,45,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galium spurium,A479,19_0013_0019,19_0013,L.
195,,3,13,50,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum lapathifolium agg.,A479,19_0013_0019,19_0013,L.
196,,3,13,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A479,19_0013_0019,19_0013,L.
197,,3,13,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A479,19_0013_0019,19_0013,
198,,3,14,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A6214,19_0013_0007,19_0013,
199,,3,14,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A6214,19_0013_0007,19_0013,L.
