system_id,sample_id,feature_id,sample_group_id,sample_type_id,alt_ref_type_id,date_sampled,sample_name,Befu,EDatProb,ProbNr,ProbTyp,ProjektNr
211,,152,152,1,,2016-04-09,US 13802,US 13802,2016-04-09,Isw 2015/20,Eim,Iswid
212,,153,153,1,,2016-04-10,US 13971,US 13971,2016-04-10,Isw 2015/7,Eim,Iswid
213,,154,154,1,,2016-08-18,US 14021,US 14021,2016-08-18,Isw 2015/1,Eim,Iswid
214,,155,155,1,,2016-08-19,US 14038,US 14038,2016-08-19,Isw 2015/3,Eim,Iswid
215,,156,156,1,,2016-08-19,US 14050,US 14050,2016-08-19,Isw 2015/24,Eim,Iswid
216,,157,157,1,,2017-07-01,US 14078,US 14078,2017-07-01,Isw 2916/23,Eim,Iswid
217,,158,158,1,,2016-08-19,US 14131,US 14131,2016-08-19,Isw 2015/13,Eim,Iswid
218,,158,158,1,,2017-07-14,US 14131,US 14131,2017-07-14,Isw 2016/12,Eim,Iswid
219,,159,159,1,,2016-04-10,US 14158,US 14158,2016-04-10,Isw 2015/14,Eim,Iswid
220,,160,160,1,,2017-07-01,US 14418,US 14418,2017-07-01,Isw 2016/34,Eim,Iswid
221,,161,161,1,,2017-07-13,US 14495,US 14495,2017-07-13,Isw 16/37,Eim,Iswid
222,,162,162,1,,2017-07-14,US 14509,US 14509,2017-07-14,16-Jan,Eim,Iswid
223,,163,163,1,,2017-07-14,US 14636,US 14636,2017-07-14,Isw 16/35,Eim,Iswid
224,,164,164,1,,2017-04-14,US 15067,US 15067,2017-04-14,Isw 2017/7,Eim,Iswid
225,,165,165,1,,2017-04-14,US 15071,US 15071,2017-04-14,Isw 17/4,Eim,Iswid
226,,166,166,1,,2017-04-14,US 15108,US 15108,2017-04-14,Isw 17/1,Eim,Iswid
227,,167,167,1,,2017-07-01,US 15140,US 15140,2017-07-01,Isw17/26,Eim,Iswid
228,,168,168,1,,2017-04-14,US 16183,US 16183,2017-04-14,Isw 2017/8,Eim,Iswid
229,,169,169,1,,2017-07-12,US 16287_F4185 (TR.),US 16287_F4185 (TR.),2017-07-12,Isw 17/23,Eim,Iswid
230,,170,170,1,,2017-07-13,US 16323_F4199(foye,US 16323_F4199(foye,2017-07-13,Isw 17/29,Eim,Iswid
231,,171,171,1,,2014-07-20,US 6712,US 6712,2014-07-20,Isw 2013/13,Eim,Iswid
232,,172,172,1,,2014-07-20,US 6773,US 6773,2014-07-20,Isw 2013/7,Eim,Iswid
233,,173,173,1,,2014-07-20,US 6803,US 6803,2014-07-20,Isw 2013/10,Eim,Iswid
234,,174,174,1,,2014-07-19,US 6810,US 6810,2014-07-19,Isw 2013/5,Eim,Iswid
235,,175,175,1,,2014-07-20,US 6827,US 6827,2014-07-20,Isw 2013/2,Eim,Iswid
236,,176,176,1,,2014-07-20,US 6854,US 6854,2014-07-20,Isw 2013/4,Eim,Iswid
237,,177,177,1,,2014-09-23,US 6863,US 6863,2014-09-23,Isw 2013/12,Eim,Iswid
238,,178,178,1,,2014-07-20,US 6875,US 6875,2014-07-20,Isw 2013/14,Eim,Iswid
239,,179,179,1,,2014-07-20,US 9036,US 9036,2014-07-20,Isw 2013/3,Eim,Iswid
240,,180,180,1,,2014-07-19,US 9200,US 9200,2014-07-19,Isw 2013/1,Eim,Iswid
241,,181,181,1,,2014-07-20,US 9321,US 9321,2014-07-20,Isw 2013/6,Eim,Iswid
242,,182,182,1,,2014-07-20,US 9404_foyer 2093,US 9404_foyer 2093,2014-07-20,Isw 2013/17,Eim,Iswid
243,,183,183,1,,2014-10-10,US 9519,US 9519,2014-10-10,Isw 2013/11,Eim,Iswid
244,,184,184,1,,2014-07-20,US 9859/9860,US 9859/9860,2014-07-20,Isw 2013/16,Eim,Iswid
245,,185,185,1,,2014-07-19,US 9870_foyer2163,US 9870_foyer2163,2014-07-19,1,Eim,Iswid
246,,186,186,1,,2014-07-20,US 9880_foyer 2166,US 9880_foyer 2166,2014-07-20,Isw 2013/19,Eim,Iswid
