sample_id,taxon_id,PCODE,ProjektNr,Befu,ProbNr,TaxAut,BNam
32,20,SPARV,19_0014,A11339,19_0014_0068,L.,Spergula arvensis
32,22,STMES,19_0014,A11339,19_0014_0068,,Stellaria media
32,65,VIOL,19_0014,A11339,19_0014_0068,L.,Viola spec.
33,6,CHALB,19_0014,A1196,19_0014_0044,L.,Chenopodium album
34,35,CARE,19_0014,A12024,19_0014_0056,,Carex spec.
34,6,CHALB,19_0014,A12024,19_0014_0056,L.,Chenopodium album
34,66,FUOFF,19_0014,A12024,19_0014_0056,L.,Fumaria officinalis
34,8,GAIS,19_0014,A12024,19_0014_0056,L.,Galeopsis spec.
34,67,PIEXC,19_0014,A12024,19_0014_0056,(L.) H. Karst.,Picea abies
34,12,POAVI,19_0014,A12024,19_0014_0056,,Polygonum aviculare agg.
34,13,POLCO,19_0014,A12024,19_0014_0056,(L.) A. Löve,Polygonum convolvulus
35,44,CEREA,19_0014,A12024,19_0014_0057,,Cerealia indet.
35,6,CHALB,19_0014,A12024,19_0014_0057,L.,Chenopodium album
35,66,FUOFF,19_0014,A12024,19_0014_0057,L.,Fumaria officinalis
35,8,GAIS,19_0014,A12024,19_0014_0057,L.,Galeopsis spec.
35,12,POAVI,19_0014,A12024,19_0014_0057,,Polygonum aviculare agg.
35,50,POLAP,19_0014,A12024,19_0014_0057,L.,Polygonum lapathifolium agg.
35,13,POLCO,19_0014,A12024,19_0014_0057,(L.) A. Löve,Polygonum convolvulus
35,20,SPARV,19_0014,A12024,19_0014_0057,L.,Spergula arvensis
36,35,CARE,19_0014,A12034,19_0014_0058,,Carex spec.
36,51,CATRI,19_0014,A12034,19_0014_0058,,Carex spec. tricarpellat
36,68,CENT,19_0014,A12034,19_0014_0058,L.,Centaurea spec.
36,44,CEREA,19_0014,A12034,19_0014_0058,,Cerealia indet.
36,6,CHALB,19_0014,A12034,19_0014_0058,L.,Chenopodium album
36,69,EUHEL,19_0014,A12034,19_0014_0058,L.,Euphorbia helioscopia
36,70,FABAC,19_0014,A12034,19_0014_0058,,Fabaceae
36,66,FUOFF,19_0014,A12034,19_0014_0058,L.,Fumaria officinalis
36,8,GAIS,19_0014,A12034,19_0014_0058,L.,Galeopsis spec.
36,45,GASPU,19_0014,A12034,19_0014_0058,L.,Galium spurium
36,10,HELE,19_0014,A12034,19_0014_0058,,Eleocharis
36,46,HODIV,19_0014,A12034,19_0014_0058,L./L.,Hordeum distichon/vulgare
36,48,HODVS,19_0014,A12034,19_0014_0058,,Hordeum distichon/vulgare Spelzgerste
36,36,INDET,19_0014,A12034,19_0014_0058,,Indeterminata
36,71,JUCOC,19_0014,A12034,19_0014_0058,L.,Juniperus communis
36,72,PHLE,19_0014,A12034,19_0014_0058,,Phleum
