system_id,sample_method_id,ProjektNr,Befu,ProbNr,method_type,method_name
404,,DanaBunar2,44,93 depth 0.30-0.40,"ORG1,0",ja
405,,DanaBunar2,46,30 depth 0.60-0.70,"ORG1,0",ja
406,,DanaBunar2,46,31 depth 0.50-0.60,"ORG1,0",ja
407,,DanaBunar2,46,32 depth 0.60-0.70,"ORG1,0",ja
408,,DanaBunar2,46,33 depth 0.30-0.40,"ORG1,0",ja
409,,DanaBunar2,46,34 depth 0.40-0.50,"ORG1,0",ja
410,,DanaBunar2,46,35 depth 0.30-0.40,"ORG1,0",ja
411,,DanaBunar2,47,49 depth 0.10-0.20,"ORG1,0",ja
412,,DanaBunar2,47,50 depth 0.10-0.20,"ORG1,0",ja
413,,DanaBunar2,55,54 depth 1.00-1.10,"ORG1,0",ja
414,,DanaBunar2,55,55 depth 1.00-1.10,"ORG1,0",ja
415,,DanaBunar2,58,23 depth 0.10-0.20,"ORG1,0",ja
416,,DanaBunar2,58,24 depth 0.30-0.40,"ORG1,0",ja
417,,DanaBunar2,58,25 depth 0.00-0.10,"ORG1,0",ja
418,,DanaBunar2,58,26 depth 0.10-0.20,"ORG1,0",ja
419,,DanaBunar2,58,27 depth 0.30-0.40,"ORG1,0",ja
420,,DanaBunar2,58,28 depth 0.20-0.30,"ORG1,0",ja
421,,DanaBunar2,64,11 depth 0.10-0.20,"ORG1,0",ja
422,,DanaBunar2,64,12 depth 0.36-0.46,"ORG1,0",ja
423,,DanaBunar2,64,13 depth 0.26-0.36,"ORG1,0",ja
424,,DanaBunar2,64,16 depth 0.48-0.58,"ORG1,0",ja
425,,Iswid,2709_fond,Isw 2013/32,"ORG1,0",
426,,Iswid,2905 fond,Isw 2013/26,"ORG1,0",
427,,Iswid,2913 fond,Isw 2013/33,"ORG1,0",
428,,Iswid,foyer 2174,Isw 2013/15,"ORG1,0",
429,,Iswid,US 10503,Isw 2013/8,"ORG1,0",
430,,Iswid,US 10521,Isw 2013/20,"ORG1,0",
431,,Iswid,US 10534,Isw 2013/21,"ORG1,0",
432,,Iswid,US 10610,Isw 2013/25,"ORG1,0",
433,,Iswid,US 11004,Isw 2013/22,"ORG1,0",
