system_id,result_id,Befu,PCODE,ProbNr,ProjektNr,RTyp,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,cf,geschätzt,method_indicator,method_type
167,,A479,POLAP,19_0013_0010,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
168,,A479,SPARV,19_0013_0010,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
169,,A479,STMES,19_0013_0010,19_0013,Sa/Fr,12.0,0.0,0.0,12,vk,-,,,"ORG2,0"
170,,A479,CATRI,19_0013_0011,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
171,,A479,CEREA,19_0013_0011,19_0013,Sa/Fr,15.0,0.0,0.0,15,vk,-,,,"ORG2,0"
172,,A479,CHALB,19_0013_0011,19_0013,Sa/Fr,24.0,0.0,0.0,24,vk,-,,,"ORG2,0"
173,,A479,GASPU,19_0013_0011,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
174,,A479,HELE,19_0013_0011,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
175,,A479,HODVS,19_0013_0011,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
176,,A479,INDET,19_0013_0011,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
177,,A479,INDET,19_0013_0011,19_0013,Sti,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
178,,A479,POACE,19_0013_0011,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
179,,A479,POLAP,19_0013_0011,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
180,,A479,SPARV,19_0013_0011,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
181,,A479,STMES,19_0013_0011,19_0013,Sa/Fr,20.0,0.0,0.0,20,vk,-,,,"ORG2,0"
182,,A479,THARV,19_0013_0011,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
183,,A479,CARE,19_0013_0012,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
184,,A479,CEREA,19_0013_0012,19_0013,Sa/Fr,10.0,0.0,0.0,10,vk,-,,,"ORG2,0"
185,,A479,CHALB,19_0013_0012,19_0013,Sa/Fr,17.0,0.0,0.0,17,vk,-,,,"ORG2,0"
186,,A479,GASPU,19_0013_0012,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
187,,A479,HODIV,19_0013_0012,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
188,,A479,RUIDA,19_0013_0012,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
189,,A479,SPARV,19_0013_0012,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
190,,A479,STMES,19_0013_0012,19_0013,Sa/Fr,10.0,0.0,0.0,10,vk,-,,,"ORG2,0"
191,,A479,AVSAT,19_0013_0019,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
192,,A479,CARE,19_0013_0019,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
193,,A479,CEREA,19_0013_0019,19_0013,Sa/Fr,10.0,0.0,0.0,10,vk,-,,,"ORG2,0"
194,,A479,CHALB,19_0013_0019,19_0013,Sa/Fr,27.0,0.0,0.0,27,vk,-,,,"ORG2,0"
195,,A479,COAVE,19_0013_0019,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
196,,A479,GASPU,19_0013_0019,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
197,,A479,POLAP,19_0013_0019,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
198,,A479,SPARV,19_0013_0019,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
199,,A479,STMES,19_0013_0019,19_0013,Sa/Fr,7.0,0.0,0.0,7,vk,-,,,"ORG2,0"
200,,A6214,CEREA,19_0013_0007,19_0013,Sa/Fr,5.0,0.0,0.0,5,vk,-,,,"ORG2,0"
201,,A6214,CHALB,19_0013_0007,19_0013,Sa/Fr,6.0,0.0,0.0,6,vk,-,,,"ORG2,0"
202,,A6214,COAVE,19_0013_0007,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
203,,A6214,GASPU,19_0013_0007,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
204,,A6214,POLAP,19_0013_0007,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
