sample_id,taxon_id,BNam,Befu,PCODE,ProbNr,ProjektNr,TaxAut
32,16,Ranunculus spec.,A11339,RANU,19_0014_0068,19_0014,L.
32,53,Rumex acetosella agg.,A11339,RUMAC,19_0014_0068,19_0014,
32,20,Spergula arvensis,A11339,SPARV,19_0014_0068,19_0014,L.
32,22,Stellaria media,A11339,STMES,19_0014_0068,19_0014,
32,65,Viola spec.,A11339,VIOL,19_0014_0068,19_0014,L.
33,6,Chenopodium album,A1196,CHALB,19_0014_0044,19_0014,L.
34,35,Carex spec.,A12024,CARE,19_0014_0056,19_0014,
34,6,Chenopodium album,A12024,CHALB,19_0014_0056,19_0014,L.
34,66,Fumaria officinalis,A12024,FUOFF,19_0014_0056,19_0014,L.
34,8,Galeopsis spec.,A12024,GAIS,19_0014_0056,19_0014,L.
34,67,Picea abies,A12024,PIEXC,19_0014_0056,19_0014,(L.) H. Karst.
34,12,Polygonum aviculare agg.,A12024,POAVI,19_0014_0056,19_0014,
34,13,Polygonum convolvulus,A12024,POLCO,19_0014_0056,19_0014,(L.) A. Löve
35,44,Cerealia indet.,A12024,CEREA,19_0014_0057,19_0014,
35,6,Chenopodium album,A12024,CHALB,19_0014_0057,19_0014,L.
35,66,Fumaria officinalis,A12024,FUOFF,19_0014_0057,19_0014,L.
35,8,Galeopsis spec.,A12024,GAIS,19_0014_0057,19_0014,L.
35,12,Polygonum aviculare agg.,A12024,POAVI,19_0014_0057,19_0014,
35,50,Polygonum lapathifolium agg.,A12024,POLAP,19_0014_0057,19_0014,L.
35,13,Polygonum convolvulus,A12024,POLCO,19_0014_0057,19_0014,(L.) A. Löve
35,20,Spergula arvensis,A12024,SPARV,19_0014_0057,19_0014,L.
36,35,Carex spec.,A12034,CARE,19_0014_0058,19_0014,
36,51,Carex spec. tricarpellat,A12034,CATRI,19_0014_0058,19_0014,
36,68,Centaurea spec.,A12034,CENT,19_0014_0058,19_0014,L.
36,44,Cerealia indet.,A12034,CEREA,19_0014_0058,19_0014,
36,6,Chenopodium album,A12034,CHALB,19_0014_0058,19_0014,L.
36,69,Euphorbia helioscopia,A12034,EUHEL,19_0014_0058,19_0014,L.
36,70,Fabaceae,A12034,FABAC,19_0014_0058,19_0014,
36,66,Fumaria officinalis,A12034,FUOFF,19_0014_0058,19_0014,L.
36,8,Galeopsis spec.,A12034,GAIS,19_0014_0058,19_0014,L.
36,45,Galium spurium,A12034,GASPU,19_0014_0058,19_0014,L.
36,10,Eleocharis,A12034,HELE,19_0014_0058,19_0014,
36,46,Hordeum distichon/vulgare,A12034,HODIV,19_0014_0058,19_0014,L./L.
36,48,Hordeum distichon/vulgare Spelzgerste,A12034,HODVS,19_0014_0058,19_0014,
36,36,Indeterminata,A12034,INDET,19_0014_0058,19_0014,
36,71,Juniperus communis,A12034,JUCOC,19_0014_0058,19_0014,L.
36,72,Phleum,A12034,PHLE,19_0014_0058,19_0014,
36,52,Poaceae,A12034,POACE,19_0014_0058,19_0014,
36,12,Polygonum aviculare agg.,A12034,POAVI,19_0014_0058,19_0014,
36,50,Polygonum lapathifolium agg.,A12034,POLAP,19_0014_0058,19_0014,L.
36,13,Polygonum convolvulus,A12034,POLCO,19_0014_0058,19_0014,(L.) A. Löve
36,73,Polygonum persicaria,A12034,POPER,19_0014_0058,19_0014,L.
36,74,Potentilla spec.,A12034,POTE,19_0014_0058,19_0014,L.
36,16,Ranunculus spec.,A12034,RANU,19_0014_0058,19_0014,L.
36,19,Solanum spec.,A12034,SOLA,19_0014_0058,19_0014,L.
36,20,Spergula arvensis,A12034,SPARV,19_0014_0058,19_0014,L.
36,22,Stellaria media,A12034,STMES,19_0014_0058,19_0014,
36,75,Trifolium spec.,A12034,TRIF,19_0014_0058,19_0014,L.
36,76,Phalaris arundinacea,A12034,TYARU,19_0014_0058,19_0014,L.
37,35,Carex spec.,A12435,CARE,19_0014_0069,19_0014,
37,44,Cerealia indet.,A12435,CEREA,19_0014_0069,19_0014,
37,6,Chenopodium album,A12435,CHALB,19_0014_0069,19_0014,L.
